S. No.,Heading / Chapter,Description of Service,CGST Rate (%),SGST / UTGST Rate (%),IGST Rate (%),Condition
,Heading 9972,"Service by way of transfer of development rights (herein refer TDR) or Floor Space Index (FSI) (including additional FSI) on or after 1st April, 2019 for construction of residential apartments by a promoter in a project, intended for sale to a buyer, wholly or partly, except where the entire consideration has been received after issuance of completion certificate, where required, by the competent authority or after its first occupation, whichever is earlier. The amount of GST exemption available for construction of residential apartments in the project under this notification shall be calculated as under: [GST payable on TDR or FSI (including additional FSI) or both for construction of the project] x (carpet area of the residential apartments in the project ÷ Total carpet area of the residential and commercial apartments in the project )",Nil,Nil,Nil,"Provided that the promoter shall be liable to pay tax at the applicable rate, on reverse charge basis, on such proportion of value of development rights, or FSI (including additional FSI), or both, as is attributable to the residential apartments, which remain un-booked on the date of issuance of completion certificate, or first occupation of the project, as the case may be, in the following manner - GST payable on TDR or FSI(including additional FSI) or both for construction of the residential apartments in the project but for the exemption contained herein] x (carpet area of the residential apartments in the project which remain un- booked on the date of issuance of completion certificate or first occupation ÷ Total carpet area of the residential apartments in the project) Provided further that tax payable in terms of the first proviso hereinabove shall not exceed 0.5 per cent. of the value in case of affordable residential apartments and 2.5 per cent. of the value in case of residential apartments other than affordable residential apartments remaining un- booked on the date of issuance of completion certificate or first occupation The liability to pay integrated tax on the said portion of the development rights or FSI, or both, calculated as above, shall arise on the date of completion or first occupation of the project, as the case may be, whichever is earlier."
,Heading 9972,"Upfront amount (called as premium, salami, cost, price, development charges or by any other name) payable in respect of service by way of granting of long term lease of thirty years, or more, on or after 01.04.2019, for construction of residential apartments by a promoter in a project, intended for sale to a buyer, wholly or partly, except where the entire consideration has been received after issuance of completion certificate, where required, by the competent authority or after its first occupation, whichever is earlier. The amount of GST exemption available for construction of residential apartments in the project under this notification shall be calculated as under: GST payable on upfront amount (called as premium, salami, cost, price, development charges or by any other name) payable for long term lease of land for construction of the project] x (carpet area of the residential apartments in the project ÷ Total carpet area of the residential and commercial apartments in the project).",Nil,Nil,Nil,"Provided that the promoter shall be liable to pay tax at the applicable rate, on reverse charge basis, on such proportion of upfront amount (called as premium, salami,cost, price,development charges or by any other name) paid for long term lease of land, as is attributable to the residential apartments, which remain un- booked on the date of issuance of completion certificate, or first occupation of the project, as the case may be, in the following manner - GST payable on upfront amount (called as premium, salami, cost, price, development charges or by any other name) payable for long term lease of land for construction of the residential apartments in the project but for the exemption contained herein] x (carpet area of the residential apartments in the project which remain un- booked on the date of issuance of completion certificate or first occupation ÷ Total carpet area of the residential apartments in the project); Provided further that the tax payable in terms of the first proviso shall not exceed 0.5 per cent. of the value in case of affordable residential apartments and 2.5 per cent. of the value in case of residential apartments other than affordable residential apartments remaining un- booked on the date of issuance of completion certificate or first occupation. The liability to pay integrated tax on the said proportion of upfront amount (called as premium, salami, cost, price, development charges or by any other name) paid for long term lease of land, calculated as above, shall arise on the date of issue of completion certificate or first occupation of the project, as the case may be."
,Heading 9973 or Heading 9991,"Services provided by the Central Government, State Government, Union territory or local authority by way of allowing a business entity to operate as a telecom service provider or use radio frequency spectrum during the period prior to the 1st April, 2016, on payment of licence fee or spectrum user charges, as the case may be.",Nil,Nil,Nil,…
,Heading 9981,"Services provided by an incubatee up to a total turnover of fifty lakh rupees in a financial year subject to the following conditions, namely:- (a) the total turnover had not exceeded fifty lakh rupees during the preceding financial year; and (b) a period of three years has not elapsed from the date of entering into an agreement as an incubate.",Nil,Nil,Nil,…
,Heading 9982 or Heading 9991,"Services provided by- (a) an arbitral tribunal to – (i) any person other than a business entity; or (ii) a business entity with an aggregate turnover up to [such amount in the preceding financial year as makes it eligible for exemption from registration under the Central Goods and Services Tax Act, 2017 (12 of 2017) (iii) the Central Government, State Government, Union territory, local authority, Governmental Authority or Government Entity; (b) a partnership firm of advocates or an individual as an advocate other than a senior advocate, by way of legal services to- (i) an advocate or partnership firm of advocates providing legal services; (ii) any person other than a business entity; or (iii) a business entity with an aggregate turnover up to [such amount in the preceding financial year as makes it eligible for exemption from registration under the Central Goods and Services Tax Act, 2017 (12 of 2017) (iv) the Central Government, State Government, Union territory, local authority, Governmental Authority or Government Entity; (c) a senior advocate by way of legal services to- (i) any person other than a business entity; or (ii) a business entity with an aggregate turnover up to [such amount in the preceding financial year as makes it eligible for exemption from registration under the Central Goods and Services Tax Act, 2017 (12 of 2017) (iii) the Central Government, State Government, Union territory, local authority, Governmental Authority or Government Entity.",Nil,Nil,Nil,…
,Heading 9983,Services by a veterinary clinic in relation to health care of animals or birds.,Nil,Nil,Nil,…
,Heading 9983 or Heading 9991,"Services provided by the Central Government, State Government, Union territory or local authority by way of- (a) registration required under any law for the time being in force; (b) testing, calibration, safety check or certification relating to protection or safety of workers, consumers or public at large, including fire license, required under any law for the time being in force.",Nil,Nil,Nil,…
,Heading 9983 or any other Heading of Chapter 99,"Taxable services, provided or to be provided, by a Technology Business Incubator or a Science and Technology Entrepreneurship Park recognised by the National Science and Technology Entrepreneurship Development Board of the Department of Science and Technology, Government of India or bio-incubators recognised by the Biotechnology Industry Research Assistance Council, under the Department of Biotechnology, Government of India.",Nil,Nil,Nil,…
,Heading 9984,"Services by way of collecting or providing news by an independent journalist, Press Trust of India or United News of India.",Nil,Nil,Nil,…
,Heading 9984,"Services of public libraries by way of lending of books, publications or any other knowledge-enhancing content or material.",Nil,Nil,Nil,…
,Heading 9985,Services provided by a tour operator to a foreign tourist in relation to a tour conducted wholly outside India.,Nil,Nil,Nil,…
,Heading 9985,Services by an organiser to any person in respect of a business exhibition held outside India.,Nil,Nil,Nil,…
,Heading 9985,"Tour operator service, which is performed partly in India and partly outside India, supplied by a tour operator to a foreign tourist, to the extent of the value of the tour operator service which is performed outside India: Provided that value of the tour operator service performed outside India shall be such proportion of the total consideration charged for the entire tour which is equal to the proportion which the number of days for which the tour is performed outside India has to the total number of days comprising the tour, or 50% of the total consideration charged for the entire tour, whichever is less: Provided further that in making the above calculations, any duration of time equal to or exceeding 12 hours shall be considered as one full day and any duration of time less than 12 hours shall be taken as half a day. Explanation. - “foreign tourist” means a person not normally resident in India, who enters India for a stay of not more than six months for legitimate non-immigrant purposes. Illustrations: A tour operator provides a tour operator service to a foreign tourist as follows: - (a) 3 days in India, 2 days in Nepal; Consideration Charged for the entire tour: Rs.1, 00, 000/- Exemption: Rs.40, 000/- (=Rs.1, 00, 000/- x 2/5) or, Rs.50, 000/- (= 50% of Rs.1, 00, 000/-) whichever is less, i.e., Rs.40, 000/-(i.e., Taxable value: Rs.60, 000/-); (b) 2 days in India, 3 nights in Nepal; Consideration Charged for the entire tour: Rs.1, 00, 000/- Exemption: Rs.60, 000(=Rs.1, 00, 000/- x 3/5) or, Rs.50, 000/- (= 50% of Rs.1, 00, 000/-) whichever is less, i.e., Rs.50, 000/-(i.e., Taxable value: Rs.50, 000/-); (c) 2.5 days in India, 3 days in Nepal; Consideration charged for the entire tour: Rs.1, 00, 000/- Exemption: Rs.54,545 (=Rs.1, 00, 000/- x 3/5.5) or, Rs.50, 000/- (= 50% of Rs.1, 00, 000/-) whichever is less, i.e., Rs.50, 000/-(i.e., Taxable value: Rs.50, 000/-).",Nil,Nil,Nil,…
,Heading 9985,"Services by way of sponsorship of sporting events organised - (a) by a national sports federation, or its affiliated federations, where the participating teams or individuals represent any district, State, zone or Country; (b) by Association of Indian Universities, Inter-University Sports Board, School Games Federation of India, All India Sports Council for the Deaf, Paralympic Committee of India or Special Olympics Bharat; (c) by the Central Civil Services Cultural and Sports Board; (d) as part of national games, by the Indian Olympic Association; or (e) under the Panchayat Yuva Kreeda Aur Khel Abhiyaan Scheme.",Nil,Nil,Nil,…
,Heading 9986,"Services relating to cultivation of plants and rearing of all life forms of animals, except the rearing of horses, for food, fibre, fuel, raw material or other similar products or agricultural produce by way of— (a) agricultural operations directly related to production of any agricultural produce including cultivation, harvesting, threshing, plant protection or testing; (b) supply of farm labour; (c) processes carried out at an agricultural farm including tending, pruning, cutting, harvesting, drying, cleaning, trimming, sun drying, fumigating, curing, sorting, grading, cooling or bulk packaging and such like operations which do not alter the essential characteristics of agricultural produce but make it only marketable for the primary market; (d) renting or leasing of agro machinery or vacant land with or without a structure incidental to its use; (e) loading, unloading, packing, storage or warehousing of agricultural produce; (f) agricultural extension services; (g) services by any Agricultural Produce Marketing Committee or Board or services provided by a commission agent for sale or purchase of agricultural produce;",Nil,Nil,Nil,…
,Heading 9986,"Carrying out an intermediate production process as job work in relation to cultivation of plants and rearing of all life forms of animals, except the rearing of horses, for food, fibre, fuel, raw material or other similar products or agricultural produce.",Nil,Nil,Nil,…
,Heading 9986,Services by way of artificial insemination of livestock (other than horses).,Nil,Nil,Nil,…
,Heading 9988 or any other Heading of Section 8 and Section 9,"Services by way of pre-conditioning, pre-cooling, ripening, waxing, retail packing, labelling of fruits and vegetables which do not change or alter the essential characteristics of the said fruits or vegetables.",Nil,Nil,Nil,…
,Heading 9988 or Heading 9992,"Services provided by the National Centre for Cold Chain Development under the Ministry of Agriculture, Cooperation and Farmer’s Welfare by way of cold chain knowledge dissemination.",Nil,Nil,Nil,…
,Heading 9999,Services by a foreign diplomatic mission located in India.,Nil,Nil,Nil,…
,Heading 9991,"Services by a specified organisation in respect of a religious pilgrimage facilitated by the Government of India, under bilateral arrangement.",Nil,Nil,Nil,…
,Heading 9991,"Services provided by the Central Government, State Government, Union territory or local authority by way of issuance of passport, visa, driving licence, birth certificate or death certificate.",Nil,Nil,Nil,…
,Heading 9991,Services by way of granting National Permit to a goods carriage to operate through-out India / contiguous States.,Nil,Nil,Nil,…
,Heading 9991 or Heading 9997,"Services provided by the Central Government, State Government, Union territory or local authority by way of tolerating non-performance of a contract for which consideration in the form of fines or liquidated damages is payable to the Central Government, State Government, Union territory or local authority under such contract.",Nil,Nil,Nil,…
,Heading 9991,"Services provided by the Central Government, State Government, Union territory or local authority by way of assignment of right to use natural resources to an individual farmer for cultivation of plants and rearing of all life forms of animals, except the rearing of horses, for food, fibre, fuel, raw material or other similar products.",Nil,Nil,Nil,…
,Heading 9991 or Heading 9973,"Services provided by the Central Government, State Government, Union territory or local authority by way of assignment of right to use any natural resource where such right to use was assigned by the Central Government, State Government, Union territory or local authority before the 1st April,2016: Provided that the exemption shall apply only to tax payable on one time charge payable, in full upfront or in installments, for assignment of right to use such natural resource.",Nil,Nil,Nil,…
,Heading 9991,"Services provided by the Central Government, State Government, Union territory by way of deputing officers after office hours or on holidays for inspection or container stuffing or such other duties in relation to import export cargo on payment of Merchant Overtime charges.",Nil,Nil,Nil,…
,Heading 9991,"Services by way of providing information under the Right to Information Act, 2005 (22 of 2005).",Nil,Nil,Nil,…
,Heading 9991 or any other Heading,"Services supplied by a State Government to Excess Royalty Collection Contractor (ERCC) by way of assigning the right to collect royalty on behalf of the State Government on the mineral dispatched by the mining lease holders. Explanation.- “mining lease holder” means a person who has been granted mining lease, quarry lease or license or other mineral concession under the Mines and Minerals (Development and Regulation) Act, 1957 (67 of 1957), the rules made thereunder or the rules made by a State Government under sub- section (1) of section 15 of the Mines and Minerals (Development and Regulation) Act, 1957.",Nil,Nil,Nil,"Provided that at the end of the contract period, ERCC shall submit an account to the State Government and certify that the amount of goods and services tax deposited by mining lease holders on royalty is more than the goods and services tax exempted on the service provided by State Government to the ERCC of assignment of right to collect royalty and where such amount of goods and services tax paid by mining lease holders is less than the amount of goods and services tax exempted, the exemption shall be restricted to such amount as is equal to the amount of goods and services tax paid by the mining lease holders and the ERCC shall pay the difference between goods and services tax exempted on the service provided by State Government to the ERCC of assignment of right to collect royalty and goods and services tax paid by the mining lease holders on royalty."
,Heading 9992 or Heading 9963,"Services provided - (a) by an educational institution to its students, faculty and staff; (aa) by an educational institution by way of conduct of entrance examination against consideration in the form of entrance fee; (b) to an educational institution, by way of,- (i) transportation of students, faculty and staff; (ii) catering, including any mid-day meals scheme sponsored by the Central Government, State Government or Union territory; (iii) security or cleaning or house- keeping services performed in such educational institution; (iv) services relating to admission to, or conduct of examination by, such institution; (v) supply of online educational journals or periodicals; Provided that nothing contained in [sub-items (i), (ii) and (iii) of item (b) shall apply to an educational institution other than an institution providing services by way of pre- school education and education up to higher secondary school or equivalent. Provided further that nothing contained in sub-item (v) of item (b) shall apply to an institution providing services by way of,-    (i) pre-school education and education up to higher secondary school or equivalent; or (ii) education as a part of an approved vocational education course.",Nil,Nil,Nil,…
,Heading 9992 or Heading 9996,"Services provided to a recognised sports body by- (a) an individual as a player, referee, umpire, coach or team manager for participation in a sporting event organised by a recognized sports body; (b) another recognised sports body.",Nil,Nil,Nil,…
,Heading 9992 or Heading 9983 or Heading 9991,"Any services provided by, _ (a) the National Skill Development Corporation set up by the Government of India; (b) a Sector Skill Council approved by the National Skill Development Corporation; (c) an assessment agency approved by the Sector Skill Council or the National Skill Development Corporation; (d) a training partner approved by the National Skill Development Corporation or the Sector Skill Council, in relation to- (i) the National Skill Development Programme implemented by the National Skill Development Corporation; or (ii) a vocational skill development course under the National Skill Certification and Monetary Reward Scheme; or (iii) any other Scheme implemented by the National Skill Development Corporation.",Nil,Nil,Nil,…
,Heading 9983 or Heading 9985 or Heading 9992,"Services of assessing bodies empanelled centrally by the Directorate General of Training, Ministry of Skill Development and Entrepreneurship by way of assessments under the Skill Development Initiative Scheme.",Nil,Nil,Nil,…
,Heading 9992,"Services provided by training providers (Project implementation agencies) under Deen Dayal Upadhyaya Grameen Kaushalya Yojana implemented by the Ministry of Rural Development, Government of India by way of offering skill or vocational training courses certified by the National Council for Vocational Training.",Nil,Nil,Nil,…
,Heading 9992,"Services provided to the Central Government, State Government, Union territory administration under any training programme for which 75% or more of the total expenditure is borne by the Central Government, State Government, Union territory administration.",Nil,Nil,Nil,…
,Heading 9993,"Services by way of- (a) health care services by a clinical establishment, an authorised medical practitioner or para-medics; Provided that nothing in this entry shall apply to the services provided by a clinical establishment by way of providing room [other than Intensive Care Unit (ICU)/Critical Care Unit (CCU)/Intensive Cardiac Care Unit (ICCU)/Neo natal Intensive Care Unit (NICU)] having room charges exceeding Rs. 5000 per day to a person receiving health care services. (b) services provided by way of transportation of a patient in an ambulance, other than those specified in (a) above.",Nil,Nil,Nil,…
,Heading 9993,"Services provided by rehabilitation professionals recognised under the Rehabilitation Council of India Act, 1992 (34 of 1992) by way of rehabilitation, therapy or counselling and such other activity as covered by the said Act at medical establishments, educational institutions, rehabilitation centers established by Central Government, State Government or Union territory or an entity registered under section 12AA or 12AB of the Income-tax Act, 1961 (43 of 1961).",Nil,Nil,Nil,…
,Heading 9994,"Services by way of public conveniences such as provision of facilities of bathroom, washrooms, lavatories, urinal or toilets.",Nil,Nil,Nil,…
,Heading 9995,"Service by an unincorporated body or a non- profit entity registered under any law for the time being in force, to its own members by way of reimbursement of charges or share of contribution – (a) as a trade union; (b) for the provision of carrying out any activity which is exempt from the levy of Goods and service Tax; or (c) up to an amount of [seven thousand five hundred]100 rupees per month per member for sourcing of goods or services from a third person for the common use of its members in a housing society or a residential complex.",Nil,Nil,Nil,…
,Heading 9995,"Services provided by an unincorporated body or a non-profit entity registered under any law for the time being in force, engaged in,- (i) activities relating to the welfare of industrial or agricultural labour or farmer; or (ii) promotion of trade, commerce, industry, agriculture, art, science, literature, culture, sports, education, social welfare, charitable activities and protection of environment, to its own members against consideration in the form of membership fee upto an amount of one thousand rupees (Rs 1000/-) per member per year.",Nil,Nil,Nil,…
,Heading 9996,"Services by an artist by way of a performance in folk or classical art forms of- (a) music, or (b) dance, or (c) theatre, if the consideration charged for such performance is not more than one lakh and fifty thousand rupees: Provided that the exemption shall not apply to service provided by such artist as a brand ambassador.",Nil,Nil,Nil,…
,Heading 9996,"Services by way of admission to a museum, national park, wildlife sanctuary, tiger reserve or zoo.",Nil,Nil,Nil,…
,Heading 9996,"Services by way of admission to a protected monument so declared under the Ancient Monuments and Archaeological Sites and Remains Act 1958 (24 of 1958) or any of the State Acts, for the time being in force.",Nil,Nil,Nil,…
,Heading 9996,"Services by way of training or coaching in- (a) recreational activities relating to arts or culture, by an individual, or (b) sports by charitable entities registered under Section 12AA or 12AB of the Income Tax Act.”;",Nil,Nil,Nil,…
,Heading 9996,"Services by way of right to admission to- (a) circus, dance, or theatrical performance including drama or ballet; (b) award function, concert, pageant, musical performance or any sporting event other than a recognised sporting event; (c) recognised sporting event; (d) planetarium, where the consideration for right to admission to the events or places as referred to in items (a), (b), (c) or (d) above is not more than Rs 500 per person.",Nil,Nil,Nil,…
,Chapter 9996,Services by way of right to admission to the events organised under FIFA U- 17 World Cup 2017.,Nil,Nil,Nil,…
,Heading 9996,Services by way of right to admission to the events organised under FIFA U- 17 Women's World Cup 2020 [whenever rescheduled].,Nil,Nil,Nil,…
,Heading 9996,Services by way of right to admission to the events organised under AFC Women's Asia Cup 2022,Nil,Nil,Nil,…
